,address,latitude,link,longitude,name,price,tags,isGluten
115,904 Massachusetts Ave,42.368317,/restaurants/atomic-bean-cafe/,-71.108776,Atomic Bean Cafe,$,"setTargeting('cuisine', ['cafes-coffeehouses']);",0
116,877 Cambridge St,42.372557,/restaurants/atwoods-tavern/,-71.091716,Atwood's Tavern,$$$,"setTargeting('cuisine', ['american-new', 'gastropub']);",0
117,800 Washington St,42.349509,/restaurants/au-bon-pain-26/,-71.063164,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
118,238 Main St,42.362297,/restaurants/au-bon-pain-15/,-71.084796,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
119,684 Massachusetts Ave,42.365797,/restaurants/au-bon-pain-17/,-71.104546,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
120,800 Boylston St,42.348785,/restaurants/au-bon-pain-3/,-71.082408,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
121,1 Joslin Pl,42.33864,/restaurants/au-bon-pain-28/,-71.1083,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
122,640 Atlantic Ave,42.352492,/restaurants/au-bon-pain-25/,-71.055486,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
123,209 Cambridge St,42.36138,/restaurants/au-bon-pain-29/,-71.066562,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
124,369 Huntington Ave,42.340027,/restaurants/au-bon-pain-19/,-71.09007,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
125,1100 Massachusetts Ave,42.370467,/restaurants/au-bon-pain-21/,-71.11374,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
126,101 Merrimac St,42.363853,/restaurants/au-bon-pain-12/,-71.061701,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
127,18\u002D48 Holland St,42.3975,/restaurants/au-bon-pain-22/,-71.1235,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
128,75 Francis St,42.338814,/restaurants/au-bon-pain-13/,-71.116454,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
129,1 Design Center Pl,42.3439,/restaurants/au-bon-pain-27/,-71.034298,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
130,100 Huntington Ave,42.347148,/restaurants/au-bon-pain-20/,-71.078376,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
131,300 Longwood Ave,42.337369,/restaurants/au-bon-pain-23/,-71.10535,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
132,431 Boylston St,42.351299,/restaurants/au-bon-pain/,-71.073043,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
133,26 Park Plz,42.350897,/restaurants/au-bon-pain-4/,-71.067829,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
134,47 Commercial St,42.366394,/restaurants/au-bon-pain-24/,-71.076131,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
